ranking.2017,ranking.2016,ranking.2015,ranking.3-year.average,School.name,Country,Programme.name,Salary.today,Weighted.salary,Salary.percentage.increase,Value.for.money.rank,Career.progress.rank,Aims.achieved,Careers.service.rank,Employed.at.three.months,Female.faculty,Female.students,Women.on.board,International.faculty,International.students,International.board,International.mobility.rank,International.course.experience.rank,Languages,Faculty.with.doctorates,Maximum.course.fee,Course.length,Number.enrolled,Relevant.degree,Company.internships
1,1,1,1,University of St Gallen,Switzerland,MA in Strategy and International Management,114449,114449,67,13,67,92,1,97 (100),16,40,38,80,91,50,2,2,1,100,"SFr9,978",26,55,Yes,100
2,2,2,2,HEC Paris,France,HEC MSc in Management,100696,99145,73,34,32,92,4,96 (91),19,39,13,71,41,67,3,9,2,100,"36,000",18,534,No,96
3,7,10,7,IE Business School,Spain,Master in Management,90613,91189,78,51,7,91,45,93 (87),38,44,46,62,70,84,13,58,1,98,"32,200",10,548,No,27
4,6,6,5,London Business School,UK,Masters in Management,86896,85262,63,57,49,92,8,95 (99),24,41,39,85,97,72,1,59,1,100,"28,900",12,241,No,50
5,3,3,4,Essec Business School,France / Singapore,MSc in Management,90106,89067,54,47,75,91,12,93 (68),31,52,38,55,36,62,11,11,1,99,"38,000",21,831,No,100
6,4,7,6,ESCP Europe,FR / UK / DE / ES / IT,ESCP Europe Master in Management,78332,78215,50,55,39,88,23,97 (91),38,51,30,76,83,52,14,6,2,98,"35,800",18,870,No,100
7,9,8,8,WHU Beisheim,Germany,MSc in Management,108590,106172,58,30,79,92,2,96 (99),25,36,12,31,27,12,55,38,0,100,"23,600",20,100,Yes,100
8,9,12,10,Esade Business School,Spain,MSc in International Management,74544,74869,74,45,9,89,18,94 (90),37,34,32,39,92,84,4,47,1,92,"25,800",13,130,Yes,38
9,,4,,Cems,See table note,Cems Masters in International Management,76102,76333,41,29,23,90,16,98 (60),34,49,34,36,50,95,6,4,2,93,"11,365",12,1243,No,100
10,11,9,10,Università Bocconi,Italy,MSc in International Management,74888,75423,57,48,14,89,5,98 (52),39,40,23,35,36,73,10,17,1,97,"25,412",28,143,No,100
11,5,5,7,"Rotterdam School of Management, Erasmus University",Netherlands,MSc in International Management,79248,79248,40,20,22,89,30,87 (94),22,52,26,52,66,30,9,15,2,100,"24,900",19,65,Yes,60
12,14,14,13,University of Mannheim,Germany,Mannheim Master in Management,93881,93478,59,11,48,91,17,96 (81),34,45,20,24,28,20,63,27,0,85,557,32,308,No,93
13,8,13,11,WU (Vienna University of Economics and Business),Austria,Master in International Management,71005,71005,40,18,34,91,24,95 (100),38,45,42,28,59,58,12,13,2,96,"2,907",24,71,Yes,100
14,20,19,18,Imperial College Business School,UK,MSc in Management,66454,66276,63,83,12,88,22,93 (86),31,53,40,94,85,67,20,72,0,100,"26,000",14,178,No,33
15,22,,,University College Dublin: Smurfit,Ireland,MSc in International Management,68905,68905,34,33,77,91,19,86 (73),38,42,22,50,81,56,7,23,2,100,"17,900",13,43,Yes,100
16,15,18,16,Edhec Business School,France,Edhec Master in Management,69675,68708,47,61,54,86,13,97 (87),39,49,42,47,44,84,19,18,2,90,"27,800",28,979,No,100
17,17,31,22,Nova School of Business and Economics,Portugal,International Masters in Management,54386,56067,53,35,13,88,34,92 (99),35,50,29,33,69,29,15,16,2,100,"16,300",20,159,No,66
18,38,24,27,City University: Cass,UK,MSc in Management,71201,71201,95,68,11,85,54,73 (87),25,53,50,71,95,50,38,77,0,94,"23,000",13,131,No,0
19,30,21,23,HEC Lausanne,Switzerland,MSc in Management,74710,74710,52,9,16,84,73,91 (80),23,44,22,80,62,44,26,61,1,100,"SFr2,520",24,184,Yes,86
20,21,17,19,HHL Leipzig Graduate School of Management,Germany,MSc in Management,99047,99047,44,39,63,91,7,91 (97),20,25,32,17,42,47,79,35,1,100,"25,000",22,55,Yes,100
21,16,15,17,Indian Institute of Management Ahmedabad,India,Post Graduate Programme in Management,118151,116476,47,89,27,85,3,100 (97),20,21,0,3,1,0,91,60,0,100,"Rs1,950,000",22,396,No,100
21,36,23,27,Warwick Business School,UK,MSc in Management,60970,60970,84,72,2,85,21,97 (95),35,63,33,79,95,22,71,89,1,100,"26,500",14,131,No,0
23,28,44,32,Stockholm School of Economics,Sweden,MSc in International Business,65854,65854,47,21,88,90,36,100 (98),27,43,35,35,79,26,49,3,2,99,"SKr300,000",22,42,No,100
23,39,46,36,St Petersburg State University Graduate School of Management,Russia,Master in Management,57982,57935,82,15,4,89,37,90 (85),54,54,11,4,23,26,35,36,1,90,"Rub880,000",24,109,No,100
25,44,39,36,University of Sydney Business School,Australia,Master of Management,65312,65312,69,50,1,85,60,83 (87),37,55,50,33,78,40,16,50,0,86,"A$63,000",15,167,No,100
26,19,26,24,Indian Institute of Management Bangalore,India,Post Graduate Programme in Management,116001,116094,40,88,30,82,14,100 (100),22,28,36,6,0,7,87,57,0,99,"Rs1,870,000",21,407,No,100
27,26,30,28,EMLyon Business School,France,MSc in Management,66844,67059,39,79,66,86,29,91 (86),34,50,33,47,47,89,24,12,1,95,"35,000",30,1073,No,100
28,23,16,22,Indian Institute of Management Calcutta,India,Post Graduate Programme in Management,113668,113659,47,80,19,84,6,100 (100),23,16,14,1,0,0,85,69,0,100,"Rs1,900,000",22,463,No,100
29,24,28,27,Audencia Business School,France,MSc in Management-Engineering,70050,70050,55,32,57,87,20,94 (100),46,29,21,47,9,57,33,33,2,87,"17,950",16,105,No,100
30,29,34,31,Antwerp Management School,Belgium,Master of Global Management,61164,61164,50,41,10,87,46,100 (95),33,38,27,38,72,64,36,43,0,98,"10,950",10,80,No,100
31,17,21,23,Iéseg School of Management,France,MSc in Management,54522,54129,44,82,45,84,51,96 (52),46,52,10,86,27,70,23,10,2,100,"18,751",24,788,Yes,100
